appln_id;npl_biblio;ipc_class_symbol;appln_abstract;appln_auth;nb_applicants;nb_inventors;appln_nr_original;npl_issn
353147536;"TIAN YU ET AL: 'Nanobonding for Multi-Junction Solar Cells at Room Temperature', ECS TRANSACTIONS, vol. 35, no. 2, January 2011 (2011-01-01), pages 3 - 10, XP055034040, ISSN: 1938-5862, DOI: 10.1149/1.3568842";"C30B  33/06";"The solar cell stack comprises multiple semiconductor solar cells of germanium (Ge) and/or Ge compound and/or an III-V compound. Each of the solar cells includes a P/N junction. A first solar cell part (20) has a first lattice constant, a top and a bottom, and includes a first semiconductor solar cell. A second solar cell part (30) has a second lattice constant, a top and a bottom, and a second semiconductor solar cell. The first and second solar cell parts are arranged one on top of the other with frictional engagement. The solar cell stack comprises multiple semiconductor solar cells of germanium (Ge) and/or Ge compound and/or an III-V compound. Each of the solar cells includes a P/N junction. A first solar cell part (20) has a first lattice constant, a top and a bottom, and includes a first semiconductor solar cell. A second solar cell part (30) has a second lattice constant, a top and a bottom, and a second semiconductor solar cell. The first and second solar cell parts are arranged one on top of the other with frictional engagement. An abrupt difference between the first and second lattice constants is formed between the first and second solar cell parts. The difference between the lattice constants is 0.5%. The first solar cell part and/or the second solar cell part comprises a further semiconductor solar cell and a metamorphic intermediate layer. The metamorphic intermediate layer comprises a first layer thickness, and changes the lattice constant by 0.5% along the extent of the thickness of the intermediate layer. An interface (35) is formed between the bottom of the first solar cell part and the top of the second solar cell part with the abrupt difference. The interface comprises an amorphous layer having a layer thickness of less than 20 nm. The bottom of the first solar cell part has a first chemical compound, and the top of the second solar cell part comprises a second chemical compound. The first and second compounds differ in a chemical element. The solar cell parts comprise lattice-matched layers, are connected to each other by a semiconductor bonding and by wafer bonding. The first solar cell part is mechanically connected to the second solar cell part using a fastening device such as a clamping device. The first solar cell part and/or the second solar cell part comprises a triple-or quad solar cell and metamorphic intermediate layers. The semiconductor solar cells have a first band gap of 1.9-2.1 eV, a second band gap of 1.6-1.9 eV, a third band gap of 1.4-1.6, a fourth band gap of 1-1.5 eV, a fifth band gap of 0.8-1.1 eV, and a sixth band gap of 0.6-0.7 eV.";"EP";1;1;"12002602";"1938-5862"
353220996;"TEWELDEMEDHIN Z S ET AL: 'Growth and physical properties of metallic In2O3 single crystals', JOURNAL OF SOLID STATE CHEMISTRY, ORLANDO, FL, US, vol. 86, no. 1, 1 May 1990 (1990-05-01), pages 109 - 115, XP024192217, ISSN: 0022-4596, [retrieved on 19900501], DOI: 10.1016/0022-4596(90)90120-M";"C30B  29/16";"A method and apparatus for growing truly bulk ln2O3 single crystals from the melt, as well as melt-grown bulk ln2O3 single crystals are disclosed. The growth method comprises a controlled decomposition of initially non-conducting ln2O3 starting material (23) during heating-up of a noble metal crucible (4) containing the ln2O3 starting material (23) and thus increasing electrical conductivity of the ln2O3 starting material with rising temperature, which is sufficient to couple with an electromagnetic field of an induction coil (6) through the crucible wall (24) around melting point of ln2O3. Such coupling leads to an electromagnetic levitation of at least a portion (23.1) of the liquid ln203 starting material with a neck (26) formation acting as crystallization seed. During cooling down of the noble metal crucible (4) with the liquid ln2O3 starting material at least one bulk ln2O3 single crystal (28.1, 28.2) is formed. We named this novel crystal growth method the 'Levitation-Assisted Self-Seeding Crystal Growth Method'. The apparatus for growing bulk ln2O3 single crystals from the melt comprises an inductively heated thermal system with a noble metal crucible (4) and evacuation passages (22, 22.1) for gaseous decomposition products of ln2O3, while keeping very low temperature gradients. Various configurations of the induction coil (6), the noble metal crucible (4) and a lid (12) covering the crucible can be utilized to obtain very low temperature gradients, sufficient evacuation passages and a high levitation force. The electrical properties of the melt grown ln2O3 single crystals can be modified in a wide range by at least one heat treatment in suitable atmospheres and appropriate temperatures.";"WO";4;3;"EP2012/057447";"0022-4596"
353220996;"DE WIT ET AL: 'Preparation of In2O3 single-crystals via chemical transport reaction', JOURNAL OF CRYSTAL GROWTH, ELSEVIER, AMSTERDAM, NL, vol. 12, no. 2, 1 February 1972 (1972-02-01), pages 183 - 184, XP024437755, ISSN: 0022-0248, [retrieved on 19720201], DOI: 10.1016/0022-0248(72)90051-6";"C30B  11/00";"A method and apparatus for growing truly bulk ln2O3 single crystals from the melt, as well as melt-grown bulk ln2O3 single crystals are disclosed. The growth method comprises a controlled decomposition of initially non-conducting ln2O3 starting material (23) during heating-up of a noble metal crucible (4) containing the ln2O3 starting material (23) and thus increasing electrical conductivity of the ln2O3 starting material with rising temperature, which is sufficient to couple with an electromagnetic field of an induction coil (6) through the crucible wall (24) around melting point of ln2O3. Such coupling leads to an electromagnetic levitation of at least a portion (23.1) of the liquid ln203 starting material with a neck (26) formation acting as crystallization seed. During cooling down of the noble metal crucible (4) with the liquid ln2O3 starting material at least one bulk ln2O3 single crystal (28.1, 28.2) is formed. We named this novel crystal growth method the 'Levitation-Assisted Self-Seeding Crystal Growth Method'. The apparatus for growing bulk ln2O3 single crystals from the melt comprises an inductively heated thermal system with a noble metal crucible (4) and evacuation passages (22, 22.1) for gaseous decomposition products of ln2O3, while keeping very low temperature gradients. Various configurations of the induction coil (6), the noble metal crucible (4) and a lid (12) covering the crucible can be utilized to obtain very low temperature gradients, sufficient evacuation passages and a high levitation force. The electrical properties of the melt grown ln2O3 single crystals can be modified in a wide range by at least one heat treatment in suitable atmospheres and appropriate temperatures.";"WO";4;3;"EP2012/057447";"0022-0248"
353220996;"TEWELDEMEDHIN Z S ET AL: 'Growth and physical properties of metallic In2O3 single crystals', JOURNAL OF SOLID STATE CHEMISTRY, ORLANDO, FL, US, vol. 86, no. 1, 1 May 1990 (1990-05-01), pages 109 - 115, XP024192217, ISSN: 0022-4596, [retrieved on 19900501], DOI: 10.1016/0022-4596(90)90120-M";"C30B  11/00";"A method and apparatus for growing truly bulk ln2O3 single crystals from the melt, as well as melt-grown bulk ln2O3 single crystals are disclosed. The growth method comprises a controlled decomposition of initially non-conducting ln2O3 starting material (23) during heating-up of a noble metal crucible (4) containing the ln2O3 starting material (23) and thus increasing electrical conductivity of the ln2O3 starting material with rising temperature, which is sufficient to couple with an electromagnetic field of an induction coil (6) through the crucible wall (24) around melting point of ln2O3. Such coupling leads to an electromagnetic levitation of at least a portion (23.1) of the liquid ln203 starting material with a neck (26) formation acting as crystallization seed. During cooling down of the noble metal crucible (4) with the liquid ln2O3 starting material at least one bulk ln2O3 single crystal (28.1, 28.2) is formed. We named this novel crystal growth method the 'Levitation-Assisted Self-Seeding Crystal Growth Method'. The apparatus for growing bulk ln2O3 single crystals from the melt comprises an inductively heated thermal system with a noble metal crucible (4) and evacuation passages (22, 22.1) for gaseous decomposition products of ln2O3, while keeping very low temperature gradients. Various configurations of the induction coil (6), the noble metal crucible (4) and a lid (12) covering the crucible can be utilized to obtain very low temperature gradients, sufficient evacuation passages and a high levitation force. The electrical properties of the melt grown ln2O3 single crystals can be modified in a wide range by at least one heat treatment in suitable atmospheres and appropriate temperatures.";"WO";4;3;"EP2012/057447";"0022-4596"
353220996;"DE WIT ET AL: 'Preparation of In2O3 single-crystals via chemical transport reaction', JOURNAL OF CRYSTAL GROWTH, ELSEVIER, AMSTERDAM, NL, vol. 12, no. 2, 1 February 1972 (1972-02-01), pages 183 - 184, XP024437755, ISSN: 0022-0248, [retrieved on 19720201], DOI: 10.1016/0022-0248(72)90051-6";"C30B  29/16";"A method and apparatus for growing truly bulk ln2O3 single crystals from the melt, as well as melt-grown bulk ln2O3 single crystals are disclosed. The growth method comprises a controlled decomposition of initially non-conducting ln2O3 starting material (23) during heating-up of a noble metal crucible (4) containing the ln2O3 starting material (23) and thus increasing electrical conductivity of the ln2O3 starting material with rising temperature, which is sufficient to couple with an electromagnetic field of an induction coil (6) through the crucible wall (24) around melting point of ln2O3. Such coupling leads to an electromagnetic levitation of at least a portion (23.1) of the liquid ln203 starting material with a neck (26) formation acting as crystallization seed. During cooling down of the noble metal crucible (4) with the liquid ln2O3 starting material at least one bulk ln2O3 single crystal (28.1, 28.2) is formed. We named this novel crystal growth method the 'Levitation-Assisted Self-Seeding Crystal Growth Method'. The apparatus for growing bulk ln2O3 single crystals from the melt comprises an inductively heated thermal system with a noble metal crucible (4) and evacuation passages (22, 22.1) for gaseous decomposition products of ln2O3, while keeping very low temperature gradients. Various configurations of the induction coil (6), the noble metal crucible (4) and a lid (12) covering the crucible can be utilized to obtain very low temperature gradients, sufficient evacuation passages and a high levitation force. The electrical properties of the melt grown ln2O3 single crystals can be modified in a wide range by at least one heat treatment in suitable atmospheres and appropriate temperatures.";"WO";4;3;"EP2012/057447";"0022-0248"
353220996;"DE WIT ET AL: 'Preparation of In2O3 single-crystals via chemical transport reaction', JOURNAL OF CRYSTAL GROWTH, ELSEVIER, AMSTERDAM, NL, vol. 12, no. 2, 1 February 1972 (1972-02-01), pages 183 - 184, XP024437755, ISSN: 0022-0248, [retrieved on 19720201], DOI: 10.1016/0022-0248(72)90051-6";"C30B  11/14";"A method and apparatus for growing truly bulk ln2O3 single crystals from the melt, as well as melt-grown bulk ln2O3 single crystals are disclosed. The growth method comprises a controlled decomposition of initially non-conducting ln2O3 starting material (23) during heating-up of a noble metal crucible (4) containing the ln2O3 starting material (23) and thus increasing electrical conductivity of the ln2O3 starting material with rising temperature, which is sufficient to couple with an electromagnetic field of an induction coil (6) through the crucible wall (24) around melting point of ln2O3. Such coupling leads to an electromagnetic levitation of at least a portion (23.1) of the liquid ln203 starting material with a neck (26) formation acting as crystallization seed. During cooling down of the noble metal crucible (4) with the liquid ln2O3 starting material at least one bulk ln2O3 single crystal (28.1, 28.2) is formed. We named this novel crystal growth method the 'Levitation-Assisted Self-Seeding Crystal Growth Method'. The apparatus for growing bulk ln2O3 single crystals from the melt comprises an inductively heated thermal system with a noble metal crucible (4) and evacuation passages (22, 22.1) for gaseous decomposition products of ln2O3, while keeping very low temperature gradients. Various configurations of the induction coil (6), the noble metal crucible (4) and a lid (12) covering the crucible can be utilized to obtain very low temperature gradients, sufficient evacuation passages and a high levitation force. The electrical properties of the melt grown ln2O3 single crystals can be modified in a wide range by at least one heat treatment in suitable atmospheres and appropriate temperatures.";"WO";4;3;"EP2012/057447";"0022-0248"
353220996;"TEWELDEMEDHIN Z S ET AL: 'Growth and physical properties of metallic In2O3 single crystals', JOURNAL OF SOLID STATE CHEMISTRY, ORLANDO, FL, US, vol. 86, no. 1, 1 May 1990 (1990-05-01), pages 109 - 115, XP024192217, ISSN: 0022-4596, [retrieved on 19900501], DOI: 10.1016/0022-4596(90)90120-M";"C30B  11/14";"A method and apparatus for growing truly bulk ln2O3 single crystals from the melt, as well as melt-grown bulk ln2O3 single crystals are disclosed. The growth method comprises a controlled decomposition of initially non-conducting ln2O3 starting material (23) during heating-up of a noble metal crucible (4) containing the ln2O3 starting material (23) and thus increasing electrical conductivity of the ln2O3 starting material with rising temperature, which is sufficient to couple with an electromagnetic field of an induction coil (6) through the crucible wall (24) around melting point of ln2O3. Such coupling leads to an electromagnetic levitation of at least a portion (23.1) of the liquid ln203 starting material with a neck (26) formation acting as crystallization seed. During cooling down of the noble metal crucible (4) with the liquid ln2O3 starting material at least one bulk ln2O3 single crystal (28.1, 28.2) is formed. We named this novel crystal growth method the 'Levitation-Assisted Self-Seeding Crystal Growth Method'. The apparatus for growing bulk ln2O3 single crystals from the melt comprises an inductively heated thermal system with a noble metal crucible (4) and evacuation passages (22, 22.1) for gaseous decomposition products of ln2O3, while keeping very low temperature gradients. Various configurations of the induction coil (6), the noble metal crucible (4) and a lid (12) covering the crucible can be utilized to obtain very low temperature gradients, sufficient evacuation passages and a high levitation force. The electrical properties of the melt grown ln2O3 single crystals can be modified in a wide range by at least one heat treatment in suitable atmospheres and appropriate temperatures.";"WO";4;3;"EP2012/057447";"0022-4596"
353227410;"TANAKA H ET AL: 'Uniformization of radial temperature gradient in sublimation growth of SiC', MATERIALS SCIENCE FORUM, vol. 433-436, 1 September 2003 (2003-09-01), TRANS TECH PUBLICATIONS LTD [CH], pages 71 - 74, XP009102883, ISSN: 0255-5476, DOI: 10.4028/WWW.SCIENTIFIC.NET/MSF.433-436.71";"C30B  29/36";"A crucible is used for allowing a seed crystal to grow via the source of materials. The crucible includes a growth chamber, a holder, a reflecting device, and a plurality of gas guiding devices. The holder is located on the top of the crystal growth chamber for holding the seed. The reflecting device is located around the holder. The plurality of gas guiding devices is located on the bottom of the growth chamber, for containing the material source and guiding the gasification or vaporization of the material source.";"EP";1;3;"12165227";"0255-5476"
353227410;"TANAKA H ET AL: 'Uniformization of radial temperature gradient in sublimation growth of SiC', MATERIALS SCIENCE FORUM, vol. 433-436, 1 September 2003 (2003-09-01), TRANS TECH PUBLICATIONS LTD [CH], pages 71 - 74, XP009102883, ISSN: 0255-5476, DOI: 10.4028/WWW.SCIENTIFIC.NET/MSF.433-436.71";"C30B  23/00";"A crucible is used for allowing a seed crystal to grow via the source of materials. The crucible includes a growth chamber, a holder, a reflecting device, and a plurality of gas guiding devices. The holder is located on the top of the crystal growth chamber for holding the seed. The reflecting device is located around the holder. The plurality of gas guiding devices is located on the bottom of the growth chamber, for containing the material source and guiding the gasification or vaporization of the material source.";"EP";1;3;"12165227";"0255-5476"
353227410;"TANAKA H ET AL: 'Uniformization of radial temperature gradient in sublimation growth of SiC', MATERIALS SCIENCE FORUM, vol. 433-436, 1 September 2003 (2003-09-01), TRANS TECH PUBLICATIONS LTD [CH], pages 71 - 74, XP009102883, ISSN: 0255-5476, DOI: 10.4028/WWW.SCIENTIFIC.NET/MSF.433-436.71";"C30B  35/00";"A crucible is used for allowing a seed crystal to grow via the source of materials. The crucible includes a growth chamber, a holder, a reflecting device, and a plurality of gas guiding devices. The holder is located on the top of the crystal growth chamber for holding the seed. The reflecting device is located around the holder. The plurality of gas guiding devices is located on the bottom of the growth chamber, for containing the material source and guiding the gasification or vaporization of the material source.";"EP";1;3;"12165227";"0255-5476"
353259611;"JONES S L ET AL: 'Pulsed laser deposition of Y2O3:Eu thin film phosphors', DISPLAYS DEVICES, DEMPA PUBLICATIONS, TOKYO, JP, vol. 19, no. 4, 10 February 1999 (1999-02-10), pages 151 - 167, XP004163559, ISSN: 0141-9382, DOI: 10.1016/S0141-9382(98)00045-6";"C30B  29/28";"A wavelength-converting structure for a wavelength-converted light emitting diode (LED) assembly. The wavelength-converting structure includes a thin film structure having a non-uniform top surface. The non-uniform top surface is configured to increase extraction of light from the top surface of a wavelength-converting structure.";"WO";5;4;"US2012/032679";"0141-9382"
353259611;"'Luminescence of pulsed laser deposited Eu doped yttrium oxide films', APPLIED PHYSICS LETTERS, AIP, AMERICAN INSTITUTE OF PHYSICS, MELVILLE, NY, US, vol. 71, no. 3, 21 July 1997 (1997-07-21), pages 404, XP012019421, ISSN: 0003-6951, DOI: 10.1063/1.119551";"C30B  29/28";"A wavelength-converting structure for a wavelength-converted light emitting diode (LED) assembly. The wavelength-converting structure includes a thin film structure having a non-uniform top surface. The non-uniform top surface is configured to increase extraction of light from the top surface of a wavelength-converting structure.";"WO";5;4;"US2012/032679";"0003-6951"
353259611;"NIKOLOV V ET AL: 'EFFECT OF THE HYDRODYNAMICS IN HIGH-TEMPERATURE SOLUTIONS ON THE QUALITY OF PURE AND SUBSTITUTED YIG SINGLE CRYSTALS GROWN BY THE TSSG METHOD', JOURNAL OF CRYSTAL GROWTH, ELSEVIER, AMSTERDAM, NL, vol. 75, no. 2, 1 May 1986 (1986-05-01), pages 269 - 276, XP001299791, ISSN: 0022-0248";"C30B  29/28";"A wavelength-converting structure for a wavelength-converted light emitting diode (LED) assembly. The wavelength-converting structure includes a thin film structure having a non-uniform top surface. The non-uniform top surface is configured to increase extraction of light from the top surface of a wavelength-converting structure.";"WO";5;4;"US2012/032679";"0022-0248"
353321721;"KERSTEN, H. WIESE, R. HANNEMANN, M. KAPITOV, A. SCHOLZE, F. NEUMANN, H. HIPPLER, R.: 'Plasma and ion beam characterization by non-conventional methods', SURFACE AND COATINGS TECHNOLOGY, ELSEVIER BV, AMSTERDAM, NL, vol. 200, no. 1-4, 1 October 2005 (2005-10-01), AMSTERDAM, NL, pages 809 - 813, XP005063629, ISSN: 0257-8972, DOI: 10.1016/j.surfcoat.2005.02.173";"C30B  29/60";"Provided is a method of arranging particles on a substrate, the method including: (a) preparing a substrate, a surface of which has depressions or projections capable of fixing the positions and/or orientations of one or more particles; and (b) placing the particles on the substrate and applying a physical pressure to the particles so that a portion or the whole of each particle is inserted in each of pores defined by the depressions or the projections. Provided is also a method of arranging particles on a substrate, the method including: (a) preparing a substrate, at least a surface portion of which has adhesive property; and (b) placing particles, which do not have flat facets but curved surfaces, on the substrate and applying a physical pressure to the particles so that the particles are immobilized on adhesive surface portions of the substrate.";"US";4;3;"13263689";"0257-8972"
353321721;"T. KRAUS, L. MALAQUIN, E. DELAMARCHE, H. SCHMID, N. D. SPENCER, H. WOLF: 'Closing the Gap Between Self-Assembly and Microsystems Using Self-Assembly, Transfer, and Integration of Particles', ADVANCED MATERIALS, �VCH PUBLISHERS|, vol. 17, no. 20, 17 October 2005 (2005-10-17), pages 2438 - 2442, XP055063438, ISSN: 09359648, DOI: 10.1002/adma.200501171";"C30B   5/00";"Provided is a method of arranging particles on a substrate, the method including: (a) preparing a substrate, a surface of which has depressions or projections capable of fixing the positions and/or orientations of one or more particles; and (b) placing the particles on the substrate and applying a physical pressure to the particles so that a portion or the whole of each particle is inserted in each of pores defined by the depressions or the projections. Provided is also a method of arranging particles on a substrate, the method including: (a) preparing a substrate, at least a surface portion of which has adhesive property; and (b) placing particles, which do not have flat facets but curved surfaces, on the substrate and applying a physical pressure to the particles so that the particles are immobilized on adhesive surface portions of the substrate.";"US";4;3;"13263689";"09359648"
353321721;"T. KRAUS, L. MALAQUIN, E. DELAMARCHE, H. SCHMID, N. D. SPENCER, H. WOLF: 'Closing the Gap Between Self-Assembly and Microsystems Using Self-Assembly, Transfer, and Integration of Particles', ADVANCED MATERIALS, �VCH PUBLISHERS|, vol. 17, no. 20, 17 October 2005 (2005-10-17), pages 2438 - 2442, XP055063438, ISSN: 09359648, DOI: 10.1002/adma.200501171";"C30B  29/60";"Provided is a method of arranging particles on a substrate, the method including: (a) preparing a substrate, a surface of which has depressions or projections capable of fixing the positions and/or orientations of one or more particles; and (b) placing the particles on the substrate and applying a physical pressure to the particles so that a portion or the whole of each particle is inserted in each of pores defined by the depressions or the projections. Provided is also a method of arranging particles on a substrate, the method including: (a) preparing a substrate, at least a surface portion of which has adhesive property; and (b) placing particles, which do not have flat facets but curved surfaces, on the substrate and applying a physical pressure to the particles so that the particles are immobilized on adhesive surface portions of the substrate.";"US";4;3;"13263689";"09359648"
