appln_id;npl_biblio;ipc_class_symbol;appln_abstract;appln_auth;appln_nr_original;npl_issn
471080858;"DIANA GIL ET AL: 'Strategies to stabilize compact folding and minimize aggregation of antibody-based fragments', ADVANCES IN BIOSCIENCE AND BIOTECHNOLOGY, vol. 4, 1 January 2013 (2013-01-01), pages 73 - 84, XP055325678, ISSN: 2156-8456, DOI: 10.4236/abb.2013.44A011";"B82Y   5/00";"The present invention relates to a drug delivery system and uses thereof. Specifically, a system that can be used to deliver therapeutic proteins, including antibodies, to proteolytic environments is disclosed. In one form of the invention the drug delievery system is a composition which comprises a porous substrate and an antibody bound to the substrate. In one embodiment, the composition comprises nanoporous silicon and can be used to deliver antibodies for the treatment, or for improving the repair, of a wound.";"WO";"AU2016/050314";"2156-8456"
471086071;"PETER B. HOWELL ET AL: 'Design and evaluation of a Dean vortex-based micromixer', LAB ON A CHIP, vol. 4, no. 6, 11 November 2004 (2004-11-11), pages 663, XP055324726, ISSN: 1473-0197, DOI: 10.1039/b407170k";"B82Y  40/00";"The present disclosure is directed towards a disposable microfluidic cartridge configured for use in a system for the small scale production of nanoparticles used in scientific research or therapeutic applications. The system can be used to produce a wide variety of nanoparticles, including but not limited to lipid and polymer nanoparticles, carrying a variety of payloads. The system provides for a simple workflow which in certain embodiments can be used to produce a sterile product.";"WO";"US2016/029879";"1473-0197"
471094060;"VICTOR DMITRIEV ET AL: 'Compact three-port optical two-dimensional photonic crystal-based circulator of W-format', OPTICS LETTERS, OPTICAL SOCIETY OF AMERICA, vol. 37, no. 15, 1 August 2012 (2012-08-01), pages 3192 - 3194, XP001577514, ISSN: 0146-9592, [retrieved on 20120725], DOI: 10.1364/OL.37.003192";"B82Y  20/00";"The present invention is based on a two-dimensional photonic crystal composed of a square lattice of dielectric rods immersed in air, in which are inserted, in a controlled manner, defects that originate three waveguides and one resonant cavity. The cavity is composed of a ferrite cylinder with magneto-optical properties, and by two dielectric cylinders located near to the ferrite cylinder. It has the function of transmitting electromagnetic signals in a desired direction (clockwise or counterclockwise), defined by the sign of an external DC magnetic field H 0 .";"EP";"16785698";"0146-9592"
471094061;"DMITRIEV VICTOR ET AL: 'Three-port circulators with low symmetry based on photonic crystals and magneto-optical resonators', PHOTONIC NETWORK COMMUNICATIONS, vol. 31, no. 1, 12 July 2015 (2015-07-12), pages 56 - 64, XP035928604, ISSN: 1387-974X, [retrieved on 20150712], DOI: 10.1007/S11107-015-0529-8";"B82Y  20/00";"The present invention is based on a two-dimensional photonic crystal in which are inserted three waveguides and one resonant cavity by the creation of linear and local defects. Due to the photonic band gap related to the photonic crystal, electromagnetic signals are confined to the interior of waveguides and resonant cavity. By exciting dipole modes in the resonant cavity, with orientation that depends on the intensity of the applied DC magnetic field, the present circulator can provide the nonreciprocal transmission of signals in the clockwise and counterclockwise directions. It can fulfill the isolation function and it is fork-shaped, providing greater flexibility in the design of integrated optical communication systems.";"EP";"16785697";"1387-974X"
471094061;"SMIGAJ W ET AL: 'Magneto-optical circulator designed for operation in a uniform external magnetic field', OPTICS LETTERS, OPTICAL SOCIETY OF AMERICA, vol. 35, no. 4, 15 February 2010 (2010-02-15), pages 568 - 570, XP001552165, ISSN: 0146-9592";"B82Y  20/00";"The present invention is based on a two-dimensional photonic crystal in which are inserted three waveguides and one resonant cavity by the creation of linear and local defects. Due to the photonic band gap related to the photonic crystal, electromagnetic signals are confined to the interior of waveguides and resonant cavity. By exciting dipole modes in the resonant cavity, with orientation that depends on the intensity of the applied DC magnetic field, the present circulator can provide the nonreciprocal transmission of signals in the clockwise and counterclockwise directions. It can fulfill the isolation function and it is fork-shaped, providing greater flexibility in the design of integrated optical communication systems.";"EP";"16785697";"0146-9592"
471094061;"VICTOR DMITRIEV ET AL: 'Compact three-port optical two-dimensional photonic crystal-based circulator of W-format', OPTICS LETTERS, OPTICAL SOCIETY OF AMERICA, vol. 37, no. 15, 1 August 2012 (2012-08-01), pages 3192 - 3194, XP001577514, ISSN: 0146-9592, [retrieved on 20120725], DOI: 10.1364/OL.37.003192";"B82Y  20/00";"The present invention is based on a two-dimensional photonic crystal in which are inserted three waveguides and one resonant cavity by the creation of linear and local defects. Due to the photonic band gap related to the photonic crystal, electromagnetic signals are confined to the interior of waveguides and resonant cavity. By exciting dipole modes in the resonant cavity, with orientation that depends on the intensity of the applied DC magnetic field, the present circulator can provide the nonreciprocal transmission of signals in the clockwise and counterclockwise directions. It can fulfill the isolation function and it is fork-shaped, providing greater flexibility in the design of integrated optical communication systems.";"EP";"16785697";"0146-9592"
471111319;"PAWELEC, B. DAMYANOVA, S. ARISHTIROVA, K. FIERRO, J.L.G. PETROV, L.: 'Structural and surface features of PtNi catalysts for reforming of methane with CO'2', APPLIED CATALYSIS A: GENERAL, ELSEVIER, AMSTERDAM, NL, vol. 323, 23 April 2007 (2007-04-23), AMSTERDAM, NL, pages 188 - 201, XP022021811, ISSN: 0926-860X, DOI: 10.1016/j.apcata.2007.02.017";"B82Y  40/00";"Embodiments of the present disclosure provide for supported Ni/Pt bimetallic nanoparticles having a Ni core and a Pt layer disposed on the surface of the Ni core, compositions including supported NiPt nanoparticles, methods of making supported NiPt nanoparticles, methods of using supported NiPt nanoparticles, and the like.";"US";"15103907";"0926-860X"
471111319;"PAWELEC, B. DAMYANOVA, S. ARISHTIROVA, K. FIERRO, J.L.G. PETROV, L.: 'Structural and surface features of PtNi catalysts for reforming of methane with CO'2', APPLIED CATALYSIS A: GENERAL, ELSEVIER, AMSTERDAM, NL, vol. 323, 23 April 2007 (2007-04-23), AMSTERDAM, NL, pages 188 - 201, XP022021811, ISSN: 0926-860X, DOI: 10.1016/j.apcata.2007.02.017";"B82Y  30/00";"Embodiments of the present disclosure provide for supported Ni/Pt bimetallic nanoparticles having a Ni core and a Pt layer disposed on the surface of the Ni core, compositions including supported NiPt nanoparticles, methods of making supported NiPt nanoparticles, methods of using supported NiPt nanoparticles, and the like.";"US";"15103907";"0926-860X"
471182775;"PIETRA, F. ET AL.: 'Tuning the Lattice Parameter of InxZnyP for Highly Luminescent Lattice-Matched Core/Shell Quantum Dots', ACS NANO, vol. 10, no. 4, 11 April 2016 (2016-04-11), pages 4754 - 4762, XP055332663, [retrieved on 20190618], DOI: 10.1021/acsnano.6b01266";"B82Y  40/00";"Embodiments of the invention include a luminescent structure including an lnxZnyP core, wherein 0<y/x<10, and wherein the core comprises an alloy including both In and Zn, and a shell disposed on a surface of the core, wherein a difference between a lattice constant of the shell and a lattice constant of the core relative to the lattice constant of the shell is less than 1 %.";"WO";"US2016/058586";"1936-0851"
471182775;"THUY UNG ET AL: 'Luminescence properties of In(Zn)P alloy core/ZnS shell quantum dots', APPLIED PHYSICS LETTERS, A I P PUBLISHING LLC, US, vol. 97, no. 19, 10 November 2010 (2010-11-10), pages 193104 - 193104, XP012137622, ISSN: 0003-6951, DOI: 10.1063/1.3515417";"B82Y  40/00";"Embodiments of the invention include a luminescent structure including an lnxZnyP core, wherein 0<y/x<10, and wherein the core comprises an alloy including both In and Zn, and a shell disposed on a surface of the core, wherein a difference between a lattice constant of the shell and a lattice constant of the core relative to the lattice constant of the shell is less than 1 %.";"WO";"US2016/058586";"0003-6951"
471182775;"PIETRA, F. ET AL.: 'Tuning the Lattice Parameter of InxZnyP for Highly Luminescent Lattice-Matched Core/Shell Quantum Dots', ACS NANO, vol. 10, no. 4, 11 April 2016 (2016-04-11), pages 4754 - 4762, XP055332663, [retrieved on 20190618], DOI: 10.1021/acsnano.6b01266";"B82Y  30/00";"Embodiments of the invention include a luminescent structure including an lnxZnyP core, wherein 0<y/x<10, and wherein the core comprises an alloy including both In and Zn, and a shell disposed on a surface of the core, wherein a difference between a lattice constant of the shell and a lattice constant of the core relative to the lattice constant of the shell is less than 1 %.";"WO";"US2016/058586";"1936-0851"
471182775;"THUY UNG ET AL: 'Luminescence properties of In(Zn)P alloy core/ZnS shell quantum dots', APPLIED PHYSICS LETTERS, A I P PUBLISHING LLC, US, vol. 97, no. 19, 10 November 2010 (2010-11-10), pages 193104 - 193104, XP012137622, ISSN: 0003-6951, DOI: 10.1063/1.3515417";"B82Y  30/00";"Embodiments of the invention include a luminescent structure including an lnxZnyP core, wherein 0<y/x<10, and wherein the core comprises an alloy including both In and Zn, and a shell disposed on a surface of the core, wherein a difference between a lattice constant of the shell and a lattice constant of the core relative to the lattice constant of the shell is less than 1 %.";"WO";"US2016/058586";"0003-6951"
471190554;"STANLEY S A ET AL: 'Remote regulation of glucose homeostasis in mice using genetically encoded nanoparticles', NATURE MEDICINE, NATURE PUBLISHING GROUP, GB, vol. 21, no. 1, 1 January 2015 (2015-01-01), pages 92 - 98, XP002744800, ISSN: 1546-170X, [retrieved on 20141215], DOI: 10.1038/NM.3730";"B82Y   5/00";"Optogenetic and chemogenetic actuators are critical for deconstructing the neural correlates of behavior. However, these tools have several drawbacks, including invasive modes of stimulation or slow on/off kinetics. These disadvantages have been overcome by synthesizing a magnetically sensitive actuator, Magneto, comprised of the cation channel, TRPV4, fused to the paramagnetic protein, ferritin. Magneto permits non-invasive magnetic control over neuronal activity by showing remote stimulation of cells using in vitro calcium imaging assays, electrophysiological recordings in brain slices, in vivo electrophysiological recordings in freely moving mice, and behavioral outputs in zebrafish and mice. As proof of concept, the first magnetogenetic control of the nervous system was demonstrated by using Magneto to delineate a causal role of striatal dopamine receptor 1 neurons in mediating reward behavior in mice. Together, our results present Magneto as a novel actuator capable of remotely controlling circuits associated with complex animal behaviors.";"WO";"US2016/058267";"1546-170X"
471190554;"ALI D. GÜLER ET AL: 'Transient activation of specific neurons in mice by selective expression of the capsaicin receptor', NATURE COMMUNICATIONS, vol. 3, 20 March 2012 (2012-03-20), United Kingdom, pages 746, XP055338208, ISSN: 2041-1723, DOI: 10.1038/ncomms1749";"B82Y   5/00";"Optogenetic and chemogenetic actuators are critical for deconstructing the neural correlates of behavior. However, these tools have several drawbacks, including invasive modes of stimulation or slow on/off kinetics. These disadvantages have been overcome by synthesizing a magnetically sensitive actuator, Magneto, comprised of the cation channel, TRPV4, fused to the paramagnetic protein, ferritin. Magneto permits non-invasive magnetic control over neuronal activity by showing remote stimulation of cells using in vitro calcium imaging assays, electrophysiological recordings in brain slices, in vivo electrophysiological recordings in freely moving mice, and behavioral outputs in zebrafish and mice. As proof of concept, the first magnetogenetic control of the nervous system was demonstrated by using Magneto to delineate a causal role of striatal dopamine receptor 1 neurons in mediating reward behavior in mice. Together, our results present Magneto as a novel actuator capable of remotely controlling circuits associated with complex animal behaviors.";"WO";"US2016/058267";"2041-1723"
471245812;"NICKOLAS PAPADOPOULOS ET AL: 'The role of companion diagnostics in the development and use of mutation-targeted cancer therapies', NATURE BIOTECHNOLOGY, vol. 24, no. 8, 1 August 2006 (2006-08-01), US, pages 985 - 995, XP055264168, ISSN: 1087-0156, DOI: 10.1038/nbt1234";"B82Y   5/00";"The present invention relates to compositions and methods for targeting cancer-specific DNA sequences, such as copy number amplifications and other types of cancer-specific sequence variations, such as cancer-specific polymorphisms, insertions, or deletions. The present invention provides hereto sequence-specific DNA targeting agents targeting a sequence within the amplified DNA region or a sequence otherwise specific for a cancer cell compared to a non- cancer cell. The invention further relates to methods for treating cancer, comprising administering such sequence-specific DNA targeting agents. The invention further relates to methods for preparing sequence-specific DNA targeting agent, as well as screening methods using the DNA targeting agents.";"WO";"US2016/057915";"1087-0156"
471245812;"H WANG ET AL: 'Targeting Loss-of-Function Mutations in Tumor-Suppressor Genes as a Strategy for Development of Cancer Therapeutic Agents', SEMINARS IN ONCOLOGY, vol. 33, no. 4, 1 August 2006 (2006-08-01), US, pages 513 - 520, XP055337585, ISSN: 0093-7754, DOI: 10.1053/j.seminoncol.2006.04.013";"B82Y   5/00";"The present invention relates to compositions and methods for targeting cancer-specific DNA sequences, such as copy number amplifications and other types of cancer-specific sequence variations, such as cancer-specific polymorphisms, insertions, or deletions. The present invention provides hereto sequence-specific DNA targeting agents targeting a sequence within the amplified DNA region or a sequence otherwise specific for a cancer cell compared to a non- cancer cell. The invention further relates to methods for treating cancer, comprising administering such sequence-specific DNA targeting agents. The invention further relates to methods for preparing sequence-specific DNA targeting agent, as well as screening methods using the DNA targeting agents.";"WO";"US2016/057915";"0093-7754"
471297393;"MEITAL RECHES, EHUD GAZIT: 'Self-Assembly of Peptide Nanotubes and Amyloid-like Structures by Charged-Termini-Capped Diphenylalanine Peptide Analogues', ISRAEL JOURNAL OF CHEMISTRY., SCIENCE FROM ISRAEL - L P P LTD., IL, vol. 45, no. 3, 30 June 2005 (2005-06-30), IL, pages 363 - 371, XP009087914, ISSN: 0021-2148, DOI: 10.1560/5MC0-V3DX-KE0B-YF3J";"B82Y  40/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"0021-2148"
471297393;"NADAV AMDURSKY, MICHEL MOLOTSKII, DANIEL ARONOV, LIHI ADLER-ABRAMOVICH, EHUD GAZIT, GIL ROSENMAN: 'Blue Luminescence Based on Quantum Confinement at Peptide Nanotubes', NANO LETTERS, AMERICAN CHEMICAL SOCIETY, vol. 9, no. 9, 9 September 2009 (2009-09-09), pages 3111 - 3115, XP055020819, ISSN: 15306984, DOI: 10.1021/nl9008265";"B82Y  40/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"15306984"
471297393;"RECHES MEITAL , GAZIT EHUD: 'Controlled patterning of aligned self-assembled peptide nanotubes.', NATURE NANOTECHNOLOGY, NATURE PUBLISHING GROUP, GB, vol. 1, no. 3, 1 December 2006 (2006-12-01), GB, pages 195 - 200, XP002493888, ISSN: 1748-3395, DOI: 10.1038/nnano.2006.139";"B82Y   5/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"1748-3395"
471297393;"MEITAL RECHES, EHUD GAZIT: 'Self-Assembly of Peptide Nanotubes and Amyloid-like Structures by Charged-Termini-Capped Diphenylalanine Peptide Analogues', ISRAEL JOURNAL OF CHEMISTRY., SCIENCE FROM ISRAEL - L P P LTD., IL, vol. 45, no. 3, 30 June 2005 (2005-06-30), IL, pages 363 - 371, XP009087914, ISSN: 0021-2148, DOI: 10.1560/5MC0-V3DX-KE0B-YF3J";"B82Y   5/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"0021-2148"
471297393;"RECHES MEITAL , GAZIT EHUD: 'Controlled patterning of aligned self-assembled peptide nanotubes.', NATURE NANOTECHNOLOGY, NATURE PUBLISHING GROUP, GB, vol. 1, no. 3, 1 December 2006 (2006-12-01), GB, pages 195 - 200, XP002493888, ISSN: 1748-3395, DOI: 10.1038/nnano.2006.139";"B82Y  40/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"1748-3395"
471297393;"RECHES M, GAZIT E: 'Casting metal nanowires within discrete self-assembled peptide nanotubes.', SCIENCE, AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE, vol. 300, no. 5619, 25 April 2003 (2003-04-25), pages 625 - 627, XP002276672, ISSN: 0036-8075, DOI: 10.1126/science.1082387";"B82Y   5/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"0036-8075"
471297393;"MAHLER A, ET AL.: 'Rigid, Self-Assembled Hydrogel Composed of a Modified Aromatic Dipeptide', ADVANCED MATERIALS, WILEY-VCH GERMANY, DE, vol. 18, 25 April 2006 (2006-04-25), DE, pages 1370 - 1365, XP002446150, ISSN: 0935-9648";"B82Y  40/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"0935-9648"
471297393;"RECHES M, GAZIT E: 'Casting metal nanowires within discrete self-assembled peptide nanotubes.', SCIENCE, AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE, vol. 300, no. 5619, 25 April 2003 (2003-04-25), pages 625 - 627, XP002276672, ISSN: 0036-8075, DOI: 10.1126/science.1082387";"B82Y  40/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"0036-8075"
471297393;"MAHLER A, ET AL.: 'Rigid, Self-Assembled Hydrogel Composed of a Modified Aromatic Dipeptide', ADVANCED MATERIALS, WILEY-VCH GERMANY, DE, vol. 18, 25 April 2006 (2006-04-25), DE, pages 1370 - 1365, XP002446150, ISSN: 0935-9648";"B82Y   5/00";"Nanostructures made up from two or more types of short peptides (e.g., aromatic dipeptides), which differ from one another by the presence (or absence) of an end-capping moiety, are disclosed. The disclosed nanostructures exhibit a closed tubular structure, short average length and narrow length distribution. Also disclosed are processes of preparing the nanostructures, articles comprising the nanostructures, and use of the nanostructures in, for example, reinforcement of materials.";"US";"15150622";"0935-9648"
